Sr. No.,Shop Name,zone_clean,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
31,Adarsh Kirana,Malviya_Sanganer,no complaints generally,too thin/watery compared to masti dahi,"more advertising in jaipur, better packaging that prevents leaks",no_data,"no customer demand/enquiry, company rep hasn't offered it","no complaints generally | too thin/watery compared to masti dahi | more advertising in jaipur, better packaging that prevents leaks | no customer demand/enquiry, company rep hasn't offered it"
32,Yogesh Ghar Saman,Malviya_Sanganer,higher price than saras,no awareness among customers,"smaller affordable sku, better pricing",no_data,no customer demand/enquiry,"higher price than saras | no awareness among customers | smaller affordable sku, better pricing | no customer demand/enquiry"
33,Parvati Kirana,Malviya_Sanganer,"curd is too sour, water/whey separation in pouch, packaging leaks or breaks",no awareness among customers,"better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life",no_data,no customer demand/enquiry,"curd is too sour, water/whey separation in pouch, packaging leaks or breaks | no awareness among customers | better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life | no customer demand/enquiry"
34,Satnam Namkeen,Malviya_Sanganer,"curd is too sour, not thick enough, packaging leaks or breaks","texture is creamy, customers appreciate it",consumer-facing offers/free trials,no_data,no_data,"curd is too sour, not thick enough, packaging leaks or breaks | texture is creamy, customers appreciate it | consumer-facing offers/free trials"
35,Njoy Scoops Corner,Malviya_Sanganer,"curd is too sour, short shelf life",too thin/watery compared to masti dahi,"better margins, consumer-facing offers/free trials",no_data,no customer demand/enquiry,"curd is too sour, short shelf life | too thin/watery compared to masti dahi | better margins, consumer-facing offers/free trials | no customer demand/enquiry"
36,Manish Kirana,Malviya_Sanganer,no complaints generally,pricier than saras,"better margins, more advertising in jaipur, smaller affordable sku",no_data,no customer demand/enquiry,"no complaints generally | pricier than saras | better margins, more advertising in jaipur, smaller affordable sku | no customer demand/enquiry"
37,Shree Ram Traders,Malviya_Sanganer,"not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks",watery and thin,"better margins, consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life",retailer margin needs to be improved,no_data,"not thick enough, water/whey separation in pouch, short shelf life, packaging leaks or breaks | watery and thin | better margins, consumer-facing offers/free trials, more advertising in jaipur, fresher stock with longer remaining shelf life | retailer margin needs to be improved"
38,Kailash Kirana Store,Amer_Periphery,"short shelf life, packaging leaks or breaks, higher price than saras",watery and thin,"consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks",retailer promotions neededn,"no customer demand/enquiry, low/unclear margin, company rep hasn't offered it","short shelf life, packaging leaks or breaks, higher price than saras | watery and thin | consumer-facing offers/free trials, more advertising in jaipur, better packaging that prevents leaks | retailer promotions neededn | no customer demand/enquiry, low/unclear margin, company rep hasn't offered it"
39,Dev Khush General Store,Amer_Periphery,"curd is too sour, not thick enough, higher price than saras",customers haven't asked for it,"better margins, consumer-facing offers/free trials, more advertising in jaipur",no_data,"no customer demand/enquiry, company rep hasn't offered it","curd is too sour, not thick enough, higher price than saras | customers haven't asked for it | better margins, consumer-facing offers/free trials, more advertising in jaipur | no customer demand/enquiry, company rep hasn't offered it"
40,Lalitha Kirana Store,Amer_Periphery,"packaging leaks or breaks, supply issues",no awareness among customers,"better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life",supply issues occur from distributors side sometimes,no customer demand/enquiry,"packaging leaks or breaks, supply issues | no awareness among customers | better margins, consumer-facing offers/free trials, better packaging that prevents leaks, fresher stock with longer remaining shelf life | supply issues occur from distributors side sometimes | no customer demand/enquiry"
41,Fresh Active,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more consumer-facing offers/free trials,no_data,no customer demand/enquiry,packaging leaks or breaks | no awareness among customers | more consumer-facing offers/free trials | no customer demand/enquiry
42,Ashapura Deptartmental Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
43,,Amer_Periphery,no complaints,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"no complaints | good freshness, priced right | smaller affordable sku for single-use"
44,Kamal General,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,better margins for retailers,no_data,no customer demand/enquiry,packaging leaks or breaks | customers haven't asked for it | better margins for retailers | no customer demand/enquiry
45,Sharma Kirana,Amer_Periphery,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,no_data,curd is too sour | no awareness among customers | more advertising in jaipur
46,Laxmi Kirana & General Store,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,saras is sufficient for my customers,no complaints | no awareness among customers | more frequent sales rep visits | saras is sufficient for my customers
47,Janvi Kirana Strore,Malviya_Sanganer,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,low/unclear margin,curd is too sour | no awareness among customers | more advertising in jaipur | low/unclear margin
48,Sadiqi Kirana Store,Old_City,not thick enough,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no_data,not thick enough | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur
49,Pankaj Kirana Store,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
50,Vyas Kirana Store,Amer_Periphery,not thick enough,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,not thick enough | no awareness among customers | more consumer-facing offers/free trials
51,Siddhi Vinayak,Amer_Periphery,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
52,Ganpati Kirana,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,low/unclear margin,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | low/unclear margin
53,Mammas,Malviya_Sanganer,no complaints,no awareness among customers,more frequent sales rep visits,no_data,saras is sufficient for my customers,no complaints | no awareness among customers | more frequent sales rep visits | saras is sufficient for my customers
54,,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | smaller affordable sku for single-use
55,Mahboob Bhai Kirana Store,Old_City,no complaints,"sells okay, no specific complaints",better margins for retailers,no_data,no_data,"no complaints | sells okay, no specific complaints | better margins for retailers"
56,Sani Juice Center,Amer_Periphery,not thick enough,no awareness among customers,more advertising in jaipur,no_data,no_data,not thick enough | no awareness among customers | more advertising in jaipur
57,Vikash Kirana Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | no awareness among customers | more advertising in jaipur
58,Radha Govind,C_Scheme,not thick enough,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,not thick enough | no awareness among customers | smaller affordable sku for single-use
59,Tulsi Ram,Amer_Periphery,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,low/unclear margin,curd is too sour | customers haven't asked for it | better margins for retailers | low/unclear margin
60,Arun Kirana Store,Amer_Periphery,curd is too sour,no awareness among customers,more frequent sales rep visits,no_data,no_data,curd is too sour | no awareness among customers | more frequent sales rep visits
61,Roshan Sabji,Amer_Periphery,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,saras is sufficient for my customers,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | saras is sufficient for my customers
62,Unique Deptartmental Store,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,more consumer-facing offers/free trials,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | more consumer-facing offers/free trials
63,Khandelwal Kirana Store,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more consumer-facing offers/free trials
64,Rekha Kirana Store,Amer_Periphery,no complaints,"good freshness, priced right",more frequent sales rep visits,no_data,no_data,"no complaints | good freshness, priced right | more frequent sales rep visits"
65,Vinayak Kirana Store,Malviya_Sanganer,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no_data,curd is too sour | customers haven't asked for it | more advertising in jaipur
66,Anshul Department Store,Amer_Periphery,no complaints,customers like the cup format,more advertising in jaipur,no_data,no_data,no complaints | customers like the cup format | more advertising in jaipur
67,Shree Gangesh Griraj Provision Store,Amer_Periphery,packaging leaks or breaks,no awareness among customers,more frequent sales rep visits,no_data,no_data,packaging leaks or breaks | no awareness among customers | more frequent sales rep visits
68,Tathastu Milk Parlour Beverage,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
69,Ratanlal Surendra Kumar,Amer_Periphery,curd is too sour,"good freshness, priced right",more frequent sales rep visits,no_data,no_data,"curd is too sour | good freshness, priced right | more frequent sales rep visits"
70,Om Shiv Trading,Jhotwara_Murlipura,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
71,Raj Shree,Amer_Periphery,no complaints,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,no complaints | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
72,Radhaswami Kirana,Amer_Periphery,no complaints,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | no awareness among customers | more advertising in jaipur | no customer demand/enquiry
73,Mahalaxmi Kirana Store 4C,Amer_Periphery,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,saras is sufficient for my customers,curd is too sour | no awareness among customers | more advertising in jaipur | saras is sufficient for my customers
74,Shivam General Store,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
75,Bhavani Bakery,Malviya_Sanganer,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
76,Nand Kirana Store,Vaishali_Mansarovar,no complaints,"sells okay, no specific complaints",smaller affordable sku for single-use,no_data,no_data,"no complaints | sells okay, no specific complaints | smaller affordable sku for single-use"
77,Shyam Kirana & Genral Store,Amer_Periphery,not thick enough,customers haven't asked for it,smaller affordable sku for single-use,no_data,no_data,not thick enough | customers haven't asked for it | smaller affordable sku for single-use
78,Jain Kirana Store,Amer_Periphery,packaging leaks or breaks,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry,packaging leaks or breaks | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry
79,Shree Shyam General Store,Amer_Periphery,not thick enough,customers haven't asked for it,more advertising in jaipur,no_data,no_data,not thick enough | customers haven't asked for it | more advertising in jaipur
80,Prem Departmantal Store,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
81,Patwari Kirana & Genral Store,Jhotwara_Murlipura,curd is too sour,too thin/watery compared to masti dahi per retailer observation,better margins for retailers,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | better margins for retailers
82,Amul Parlour,C_Scheme,curd is too sour,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
83,Khandewal Canteen,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,no customer demand/enquiry,curd is too sour | customers haven't asked for it | more advertising in jaipur | no customer demand/enquiry
84,Kushal Genral Store,Amer_Periphery,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
85,Morwal Kirana,Amer_Periphery,curd is too sour,customers haven't asked for it,more advertising in jaipur,no_data,company rep hasn't offered it,curd is too sour | customers haven't asked for it | more advertising in jaipur | company rep hasn't offered it
86,Shiv Milk,Malviya_Sanganer,no complaints,too thin/watery compared to masti dahi per retailer observation,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,no complaints | too thin/watery compared to masti dahi per retailer observation | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
87,Kesri Store,Malviya_Sanganer,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
88,Harsh Trading,Vaishali_Mansarovar,no complaints,no awareness among customers,more frequent sales rep visits,no_data,company rep hasn't offered it,no complaints | no awareness among customers | more frequent sales rep visits | company rep hasn't offered it
89,Radha Krishna Bakery,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry
90,Deepak Tea,Amer_Periphery,packaging leaks or breaks,customers haven't asked for it,better margins for retailers,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | better margins for retailers
91,Devashish Enterprises,Malviya_Sanganer,curd is too sour,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,no customer demand/enquiry,curd is too sour | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | no customer demand/enquiry
92,Jai Ambay Kirana,Amer_Periphery,curd is too sour,"sells okay, no specific complaints",better margins for retailers,no_data,no_data,"curd is too sour | sells okay, no specific complaints | better margins for retailers"
93,Poonam Goras,Amer_Periphery,not thick enough,no awareness among customers,better margins for retailers,no_data,no_data,not thick enough | no awareness among customers | better margins for retailers
94,Durga General Store,Malviya_Sanganer,curd is too sour,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry company rep hasn't offered it,curd is too sour | no awareness among customers | more advertising in jaipur | no customer demand/enquiry company rep hasn't offered it
95,Ridhi Sidhi Deprt. Store 2,Vaishali_Mansarovar,no complaints,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,company rep hasn't offered it,no complaints | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits | company rep hasn't offered it
96,Kailash Kirana,Amer_Periphery,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
97,Saini Floor Mill,Amer_Periphery,not thick enough,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,not thick enough | customers haven't asked for it | more frequent sales rep visits
